title,description,release_date
Creeper World 2: Anniversary Edition,"Yes, this is your grandfather's Creeper World 2. Now on Steam and with two new and amazing soundtracks from Finn M-K, the composer who did the OST scores for Creeper World 3 and Particle Fleet! Deceptively simple... amazingly deep. Creeper World 2 thrusts you into the 14th millennium fighting and enemy that flows and oozes through the terrain. Employ advanced weapons,gravity manipulating repulsors, wormhole like rifts, and your own wit against this never yielding enemy. Excavate terrain, unearth techs, crystals, remnants and other artifacts. Face a new mechanical enemy that employs gravity manipulation against you. Join the fight to save humanity now!","Nov 16, 2016"
Room -Random Dungeon-,"When I woke up, I was in a small room. Escape through the endless rooms. Explore the room using light while running away from threats. Solve the mystery and escape from the room 【concept】 ・A haunted house that you can play over and over again ・A story that progresses each time you escape from 6 rooms ・Each time you play, you will experience a different room and may arrive at a different ending. 【flashlight】 The room is pitch black and you can only see your surroundings. A flashlight allows you to explore a room more efficiently. Unravel the mysteries of the room by relying on the light. Using a flashlight will increase your visibility and may make it easier to recognize and deal with 'threats.' 'Threat' is not good at light. You may be able to counter it by shining a light on it. If you continue to use a flashlight, the battery will drain. When you turn it off, the battery will continue to charge. Just turning the flashlight on will drain the battery, so be careful when switching it on and off quickly. ※This game is a horror action game inspired by Backrooms, The Witch's House, The Exit 8, etc. 【guide】 Move：arrow key Flashlight : keyboard[A] or pad[X] Fix the angle : keyboard[S] or pad[A]","Mar 21, 2024"
Brisca,"🃏 Brisca Like Never Before! Celebrate the 10th anniversary of the most popular card game by Quarzo Apps with this fully revamped version of Brisca . Enjoy fast-paced, strategic matches in online multiplayer , offline vs AI , or practice mode . A complete and customizable experience faithful to the traditional Spanish card game , now with improved graphics, powerful new features, and smooth gameplay. ✨ Key Features 🃏 High-definition cards, customizable backs, and smooth animations. 📱 Play in portrait or landscape mode . 🎴 Use the Spanish, French, or Italian (Napoletane) deck . 🧠 Smart AI with 4 difficulty levels and configurable rules. 🌐 Online multiplayer with friends or single-player games. 🔈 Realistic sounds with adjustable volume. 🎓 Full tutorial and in-game help. 🔧 Advanced settings: card size, rules, effects, and more. 🔋 Graphics optimized for low battery consumption. 🕹️ Game Modes Interactive tutorial Practice mode (with undo option) Single-player vs AI Local multiplayer (coming soon) Online multiplayer Brisca (also known as Briscola or Briscas ) is a traditional card game played in Spain , Italy , Puerto Rico , Cuba , and many other countries. The goal is to win tricks and collect the highest-scoring cards. Easy to learn, hard to master. ","Jul 29, 2025"
Mars Attracts,"Guess Who's Ack, Ack Again... Mars Attracts is a theme park management game set on Mars. Play as the devious Martians from the cult-classic universe of Mars Attacks™ and build your amusement park empire, abducting humans from across history to display in customizable enclosures for the entertainment of curious Martian guests. Study humanity in their natural habitat, or subject them to whatever twisted experiments you can imagine! Business Is Boomin'! Take on the role of a Martian CEO and confront the challenge of theme park management — craft the perfect red planet tourist attraction, complete with human enclosures, death-defying rides, and a carefully selected range of amenities. You won’t last long if you can’t turn a profit. Improvise, Abduct, Overcome Humans come in all shapes, sizes, and bounciness. Employ advanced Martian technology to procure humans from across history – from Ancient Rome to the Wild West – and build the perfect habitat to ensure they have no idea they ever left. Control Your Captives Humans may all look the same, but new research suggests that each one has their own unique personality. Tailor enclosures to appeal to each human’s preferences, or find yourself dealing with an enraged human terrorizing your beautiful park. It's Probing Time! For centuries, Martian explorers have scoured the galaxy for signs of intelligent life. So far, no luck. Nevertheless, there is much to be learned by studying human behavior. Maximize their happiness to enlighten your guests on the mysteries of these strange enclosed-brained creatures, or push your captives to the limit and see what breaks. For science, of course.","Sep 15, 2025"
魔女档案 MajyoArchive,"There are girls called Majyo(witches) in the world, and this is the story happened between them. ·HOW TO START The game progresses by linear chapters. Select the chapter to start the game. The new chapter will open when the previous chapter has been cleared. And the cleared chapters can be played again. ·HOW TO PLAY The main method of play is 2D Barrage Combat (STG). You can control Majyos to move around and defeat enemies. And the Majyos you can control include 3 characters. When an enemy is defeated, you can get point, by which you can level up Majyos' skill to be stronger. When all enemies are defeated, the chapter is cleared. ·Features We provided 3 Majyos for players to use, and each of them has her unique fighting mode. Enemies also have their own fighting patterns and the BOSS will show special fighting patterns, which will bring crisis and excitement to players. And it is believed that the excellent music in the game will give players surprise. ·Contents The game includes totally 10 chapters, in which 8 chapters show main story and 2 chapters are extra chapters. In the main story, you will meet with 9 characters (Having image), and most of them are cute girls. You will witness the story between them.","Mar 10, 2024"
MINOS: Home A-Labyrinth,"MINOS: Home A-Labyrinth is a limited-time festive holiday special. Use improvised defenses, handcrafted tricks, and a full arsenal of festive hazards to prevent clumsy intruders from invading your labyrinth in this (almost) cozy spin-off that reimagines the trap-building gameplay of MINOS in a familiar holiday setting. Design and chain together traps, lure intruders into slapstick disasters, and protect your home from room to room. Expect quick sessions, chaotic encounters, and a playful celebration of defensive strategy. This project was created as a lighthearted seasonal promo and released entirely for free. If you enjoy the experience, wishlist MINOS, our full-scale trap-building labyrinth roguelite coming soon. Happy holidays!","Dec 17, 2025"
Simple Nightmares: Strategic Shooter,"Game Description : Fight your way through each level to wake from this Nightmare or remain trapped in the dream. Can you escape? Gameplay : In Simple Nightmares: Strategic Shooter, expect the unexpected. Each meticulously crafted scene ensures unpredictable and exhilarating enemy encounters. Light puzzle elements enhance interaction with the environment. Atmosphere and Challenge : I strive to build a suspenseful and unpredictable atmosphere, drawing from popular science fiction to create enemies that stealthily approach players, catching them off guard. Key Features : Simple controls, best suited for keyboard and mouse. Dynamic environments with randomized elements that keep gameplay fresh and unpredictable. Suspenseful atmosphere blended with action. ","Apr 20, 2025"
Fantom Feast,"Fantom Feast is a casual arcade game where you control Fantom, a ghost trying to become as big as possible! Eat the smaller ghosts and avoid obstacles to reach the top score! FEATURES Charming characters! Unique enemy ghosts, hazards, and power-ups! Several world types to navigate, each with unique effects on the game! Top score leaderboard! Supports keyboard and controller input! ","Feb 1, 2019"
Aery VR - A Journey Beyond Time,"In Aery – A Journey Beyond Time you are in the role of a flying god-like creature which observes the world and their inhabitants while they grow and evolve. You can quite literally fly through history and the different stages of human development, follow an interesting story through time, and enjoy the speed of flying at the same time. This story-driven game is non-violent so that you can enjoy the intuitive and relaxing gameplay in 12 different stages of the development of our earth. The game offers the following: Experience the feeling of flying with fluid and responsive flight controls Literally fly through history and the different stages of human development Follow an interesting story through time See the world with the eyes of a god-like creature Enjoy the intuitive and relaxing gameplay Experience the speed of a bird without enemies or other threats Explore 12 vast landscapes with a different theme, style, and mood Collect the crystals to unlock the next area Immerse into the atmosphere with a vibrant minimalistic yet sometimes even surreal art style Enjoy the beautiful bright colors with interesting and different color themes in every area Discover hidden areas and many little surprises on your way ","Mar 24, 2023"
Horizon Valley,"Embark on an endless adventure in our dynamic endless runner game where every run is a unique experience! Navigate through a constantly changing landscape filled with thrilling obstacles that will put your reflexes to the test. But that's not all - immerse yourself in a world of customization with our diverse range of menus. Personalize your character with an array of stunning outfits, unlock epic treasures from mysterious chests, and watch as your avatar transforms into a true legend before your eyes. With each run, discover new challenges and breathtaking vistas, ensuring every moment is filled with excitement and anticipation. Get ready to run, customize, and conquer like never before in our captivating endless runner experience!","Jul 17, 2025"
Crisis in the Kremlin: The Cold War,"Crisis in the Kremlin: The Cold War is a global real-time political strategy game where you take command of the USSR in its final decade. Shape the fate of your nation as you manage critical elements like the economy, foreign relations, and domestic policy. Engage with countries across the globe, using diplomacy, or wield your influence through proxy wars to expand your reach. Immerse yourself in both historical and alternate-history events, making pivotal decisions that will guide the USSR down various paths—from reigniting the flame of socialism to embracing Western democracy. With dozens of complex endings, every choice brings you closer to your unique vision for the USSR. Crisis in the Kremlin offers a richly detailed simulation, where the fate of a superpower rests in your hands. Will you preserve the union or forge a new future? PERESTROIKA - CONTINUATION OF OCTOBER Crisis... Crisis has caught up with the Motherland of the Revolution and lurks in its very heart - the Kremlin. The Soviet Union has stood still for too long, and now many different circumstances, groups and people are pushing it to change. Some see the future in a return to the past, some in cautious reforms, and some want radical change. The Crisis has taken deep roots in Kremlin towers, and the lurking traitors are just waiting for their moment in the spotlight. Where will the blow of the Cheka officer's punitive sword be directed this time? Where will the knight of the Party in red armour point his finger? And where will the foot of the entire Soviet people step? Greatness? Communism? Reforms? Collapse? Take command of the Soviet Union in the new, updated Crisis in the Kremlin. Lead the country through the most difficult times. Conduct scientific research, manage finances to bring the USSR out of a prolonged political crisis. Carry out social reforms, introduce free elections or, alternatively, roll back any liberal endeavours: fine-tuning legislation is in your hands. Make friends with the Western world or confront the US and bring about its collapse, follow the unusual path of neo-imperialism or carve your own path: 'Crisis in the Kremlin' opens up huge prospects for you. TO WORK SO THAT COMRADE STALIN WOULD SAY THANK YOU Here you will be able to: Try on the chair of the General Secretary of the CPSU Central Committee Start and successfully carry out Perestroika or not even to start it Reorganise the USSR, build the legendary OGAS or establish a united world state Bring about the world communist revolution dreamed of by the classics of Marxism-Leninism Build a proper capitalism that will leave competitors from the West and East far behind Fine-tune the laws of the Soviet Union, creating an entirely new state Create your dream country or turn it into your nightmare Control the state budget Reach new scientific heights: build the Soviet Internet, continue the space race and win it, conquer the Moon and Mars Conduct diplomacy with the whole world: hostility or friendship with the West, China and dozens of other states Revive former states, liberate small peoples around the world, or create brand new unprecedented countries Interfere in the course of international events and world history itself Repress, reform, proclaim, intervene, perform, break and build.... ","Jul 11, 2025"
Bloodcrave: R18 Prologue,"Welcome to the dark and alluring world of Bloodcrave, a thrilling vampire-themed visual novel that will take you on a journey of love, corruption, and tough choices. Follow the story of Alex, a young engineer who finds himself in the middle of a battle between vampires and vigilantes. When he is saved by Chloe, a fierce vampire hunter, he discovers that his blood holds a secret that could change the balance of power forever. Will he use his newfound strength to help Chloe rid the city of ruthless vampires, or will he succumb to his dark desires and become a force of destruction? As you delve deeper into the game, you'll encounter six captivating love interests , each with their own unique storylines, personalities, and intimate moments. But be careful, as jealousy can have severe consequences in this world of danger and temptation. The decisions you make will have a drastic impact on the outcome of the game, with multiple endings and epilogues for each character. Will you lead your companions down the path of virtue, or will you make them succumb to the lure of darkness? As you plan your actions for each day, you'll discover hidden quests, events, and animated scenes that bring this captivating world to life. Immerse yourself in the interactive storytelling, as you decide whether to become a skilled vampire hunter, pursue your love interests, or indulge in something more nefarious. Features: Play the first 3 hours of Bloodcrave! You can import saves to the full game! Explore romantic relationships with six captivating love interests, each with their own unique branching storylines. Enjoy fully animated voice-acted scenes to immerse yourself in the game's world. Plan your days carefully by choosing which locations to visit and who to meet, shaping the direction of the story. Visit over two dozen unique locations, each holding its own secrets and dangers. Follow the main story with five different endings and discover multiple epilogues for each character, offering satisfying conclusions to their individual story arcs. ","Mar 13, 2025"
Battlefield™ 2042,"WELCOME TO 2042 Battlefield™ 2042 is a first-person shooter that marks the return to the iconic all-out warfare of the franchise. With the help of a cutting-edge arsenal, you can engage in intense, immersive multiplayer battles. Lead your team to victory in both large, all-out warfare and close-quarters combat on maps from the world of 2042 and classic Battlefield titles. Find your playstyle in class-based gameplay and take on several experiences, including elevated versions of Conquest and Breakthrough. Explore Battlefield Portal, a platform where players can discover, create, and share unexpected battles from Battlefield's past and present. ALL-OUT WARFARE This game includes optional in-game purchases of virtual currency that can be used to acquire virtual in-game items.","Nov 19, 2021"
Leximorph - Word Merge Game,"Leximorph is a word game like no other — where letters evolve, and strategy is key! In this Suika-like game, drop letter-shaped tiles into a tank and watch the chaos unfold. When two of the same letter touch, they merge into the next letter in the alphabet and grow in size! Bigger letters mean fewer spaces — and less room to manoeuvre. Use letters to form words and clear space, but choose wisely: longer words score more points! Run out of space, and it's game over. How long can you survive the morphing madness? The Lexicon The Lexicon is a bank of crossword style clues, which unlock as you play. There are over 220 words in the Lexicon - can you unlock them all? Abilities Abilities keep the game interesting in a variety of ways - here's a few! Vowel Ball - Turns any letter it touches into a vowel. Consonant Ball - Turns any letter it touches into a consonant. Bomb - Detonates and destroys the letters around it. Shrinker - Cuts the size of letters in half. Attractor - Attracts letters nearby toward it. Repeller - Repels letters nearby away from it. Game Modes At launch there will be 5 game modes: Normal Mode - no time pressure, just don't run out of space. Auto Drop - the letters drop where they please, make sure to keep clearing words so the tank doesn't fill. Inflate Mode - Every letter slowly inflates over time. Zone Shrink - The game over zone slowly makes its way down the screen, making words from the letters delays it, the longer the word the longer the delay! Five Letter Mode - Like normal mode, except you can only submit words that are five letters in length! ","Jun 16, 2025"
Emberhold,"Emberhold is an atmospheric survival game with building mechanics set in a massive cave once used for excavations. Now, it stands as a realm of stone, darkness, and a solitary survivor. You will delve into the underground world, gather materials, build shelters, and adapt to the harsh environment of the depths. The cave walls conceal threats, yet within them lies the chance to survive. In this solitude, surrounded by echoes and stone, you must carve out your own beacon of light. Emberhold combines exploration, crafting, and construction with distinctive stylized visuals that immerse players in the mood of underground survival. Game Features: * Immersive survival in a vast cave * Building and crafting mechanics * Exploration of deserted mines and deep underground tunnels * Stylized visuals that enhance the underground atmosphere ","Nov 27, 2025"
Back To Village,"The meaning of the keys, 1: 'W', 'A', 'S', 'D' are used to move the character on the ground 2: 'T' key, used for flying. In flight state, 'E' and 'Q' are used for ascending and descending. Press 'T' again and it will fall to the ground. 3: 'R' construction function, on the displayed building page, select the building that needs to be built and build it. 4: The left mouse button is to attack Game modes: 1: Choose different characters yourself. Different characters have different attack power against monsters and collection abilities. 2: Monsters will constantly attack your village. If your village is attacked by monsters, the village will no longer be there. 3: There will be thieves who will enter your village and steal your wood and stones, but the thieves cannot attack you, but you can attack the thieves. 4: You can collect wood and stone, which are the materials for building defense towers. 5: In addition to consuming these materials during construction, defense towers will also consume when defending. 6: As a reward for protecting your village, your gold coins will increase with the time you protect your village.","Jun 3, 2023"
Elves vs Goblins Defender,"Incoming goblins! Lead your bravest elfish warriors into the field and use the forces of nature to push the hordes of goblins, golems and ghosts back! Gather your units for battle and brace yourself, because they are already on their way. They are after the gold of the elves! It is up to you to protect the gold and defend the land of the elves from the goblins. Knife throwing elves and mages repulse the beastly attackers and mother nature itself is on your side as well. On your command bushes and trees will straggle, explosive mushrooms will grow everywhere and stones will form a blockade. But until the goblin army is not defeated, their attacks will become more and more aggressive by every assault. If you are overrun, you may use ancient elfish magic to summon lightning and fire upon your enemy. Skill, a sense for tactics and a fast mind is everything you will need to defend the elfish kingdom. - Unlock extras in the shop with star you won in-game - Have a look at your outstanding accomplishments in the trophy chamber - A diversity of lovingly designed units and enemies - Many levels to show what you are made of","Oct 27, 2016"
Deep Enigma,"A Metroidvania game, non linear, with a lot of secrets areas to find and explore! The game is based on a surreal world, with a awesome final story! You have the freedom to explore the world, to find all the 328 upgrade hidden items!","Jan 28, 2021"
Destructive Contraptions,"Have you ever wondered about making a game where you can make huge chain of dominos and watch them fall one by one without having to worry about any of the legal and life threatening issues. If you are one of those people you just got your dream game. Welcome to the world of Destructive Contraptions. Destructive Contraptions is an physics based sandbox simulator where you can create huge contraptions and watch them fall apart and destroy variety of giant structures ranging from monuments buildings to a city. Ultimately the floor is yours to fill and the how you do it is completely up to you. We just give you the tools. So sit back and enjoy your creations as they do their work. The game is heavily physics based so no two play sessions will be same i.e. the outcome of the game will be different each time, resulting in fun and crazy moments. Some of the features you will encounter in this game are : Variety Of Objects to Play With Different Type of Objects like Dominos, Buildings, Trees, Pushers, Pivots and many more. Time Manipulation / Freeze Time: You can change the time and watch the pieces fall after one another in slow motion or just freeze time and move around. Sandbox / Level editor: You can make your own levels in the level editor.","Jul 20, 2022"
Spitfire - Moonpie´s Mission,"Spitfire – Moonpie’s Mission is a side-scrolling rail shooter adventure with a handcrafted world, a musical vibe, and a focus on boss battles inspired by the action hero cartoons of the '90s.   During a space mission, your crew discovers an unknown life form on a distant moon. Excited by the find, they bring it aboard for the return journey. But upon reaching home, the parasite breaks free—and spreads fear and chaos among the crew. Only your loyal companion, Moonpie, stands bravely against the nightmare. The survivors quickly realize that the parasite's only weakness is 'Alpaca snot.' Now it's up to you to equip Moonpie with a special weapon capable of stopping the parasite before it infects the entire planet and turns everything into mutants.  Gameplay: Moonpie, your brave alpaca, selflessly enters the battle. Your task is to equip it with powerful weapons and a protective shield—both powered by the same energy source that fuels the teleporter, sending Moonpie on its dangerous mission and bringing it back.   Features: Upgrade your weapons and find a way to stop the parasite. Free the wildlife and plant life, and recruit powerful allies who will help Moonpie along the way. Explore a wild world filled with insane boss fights. Uncover many small secrets, discover mini-games, and collect achievements. ","Mar 4, 2025"
Ecto Portal,"The next generation of spooky displays, created by the Spooky Genius! You’ve never seen anything like this before. Run Ecto Portal on any large screen (projectors are best) that you show to other people. It will display ghosts and ghouls that passers-by can interact with and fight.* Some features of Ecto Portal: - Display a ghost on any screen (but best on large screens or projectors). - Select from different ghosts. - Change the size of the ghost. - Rotate the ghost to best fit the display area. - Download new ghosts as they become available. - Ghosts move around, haunting your display area when in idle (haunt) mode. - Display your ghost on a map so trick-or-treaters, ghosthunters and others can find it. - Allow EctoQuest players to fight and attempt to capture your ghost. ** Interactive features require Internet connection.","Jan 16, 2021"
Dead Horizon: Origin,"A six shooter is all you have in a world of sand, dust, and blood... Dead Horizon is a short and dirty point and click adventure game for your home computer system. Play as Bonnie Starr, a former farmgirl turned infamous pistoleer as she attempts to gain redemption at the end of a gun. Dead Horizon is inspired by the light gun games of old. No, not Area 51, Time Crisis or Virtua Cop. The real old ones, like the original Wild Gunmen, Namco Quick &amp; Crash, and Mad Dog McCree. This game was inspired by those and the developer's own fascination with westerns and their machismo focused story lines on masculinity, murder, and guns. This game has all those things, and more! And it's 100% free! And very, very short. Features Include: Gameplay only involves the mouse. We've cut out those useless fidgety bits, like keyboards! Out of date graphics, like you remember from that childhood before you were born! Out of date soundtrack, so fabulous you'll want to own it separately! Quickdraw duels with over five dangerous hombres! Classic 4:3 aspect ratio, just for those that missed it! Kill some people that probably deserve it! Learn from the best shootist this side of the sunken desert! Kill some people that maybe don't deserve it! Getting to know whether or not you'd miss! The game is totally free! So free we're not even charging for it! The hard sell: Dead Horizon takes less than ten minutes to play, but a lot of sweat and a LOT of tears went into making this game. If you take the time to experience this, trust us when we say it is appreciated. This game is dedicated to the memory of my grandfather, who had the spirit of a gunslinger. ","Aug 11, 2017"
Thermo Sudoku,"Presented by Cracking The Cryptic, YouTube’s most popular Sudoku channel, comes a new game featuring one of the most popular puzzle types: Thermo Sudoku. How does Thermo Sudoku work? Well each sudoku grid contains thermometer shapes (often drawn to create themes) and digits on thermometers must increase as one moves further from the bulb end. The interactions between the thermometers leads to new logical ideas and patterns that completely refreshes the standard sudoku solving experience. As with their other games (‘Classic Sudoku’, ‘Sandwich Sudoku’ and ‘Chess Sudoku’), Simon Anthony and Mark Goodliffe (the hosts of Cracking The Cryptic) have personally crafted the hints for the puzzles. So you know that every puzzle has been play-tested by a human being to ensure that the sudoku is interesting and fun to solve. In Cracking The Cryptic’s games, players start with zero stars and earn stars by solving puzzles. The more puzzles you solve, the more stars you earn and the more puzzles you get to play. Only the most dedicated (and cleverest) sudoku players will finish all the puzzles. Of course the difficulty is carefully calibrated to ensure lots of puzzles at every level (from easy through to extreme). Anyone familiar with their YouTube channel will know that Simon and Mark take pride in teaching viewers to be better solvers and, in these games, they always craft the puzzles with the mindset of trying to help solvers improve their skills. Mark and Simon have both represented the UK many times at the World Sudoku Championship and you can find more of their puzzles (and lots of others) on the internet’s biggest sudoku channel Cracking The Cryptic. Features: 40 beautiful puzzles on launch 100 puzzles in all with regular updates to reach this total in the first year post launch. Hints crafted by Simon and Mark! ","May 25, 2020"
Trigwa,"Trigwa is a problem solving game with a narrative. You, as The Stranger, have heeded the call for help from a faraway land, shunned by most and known for its strange ways and obsession with its once greater past. Solve puzzles in a vast underground tomb spanning several floors and unravel the history of the land, room by room, floor by floor. How to play: The game will run using GBCbag 2 by EASTPIXEL, a packing app for playing games made to run on a Game Boy. Requires Windows 10/11. For Linux and macOS users, find the file game.gb in the folder 'Game' and run it separately in an emulator (Sameboy, bgb or Mesen recommended). GBCbag 2 Settings Controls: You can set up your preferred controls in Settings -&gt; Controls and Video -&gt; Input, but there are 4 pre-configured control schemes: WASD + the Comma key (,) + the Period key (.) + Space bar and Left Ctrl Arrow keys + C + X + Space bar + Left Ctrl PS4 controller using the Dpad + X + Square + R1 + L1 Xbox controller using the Dpad + A + B + Start + Back Screen: Fullscreen can be toggled by pressing F11 . A few video filters are available in Settings -&gt; Video Filter, and a larger choice of various filters can be set in Settings -&gt; Controls and Video -&gt; Video, and then by checking Override video filter. Recommended settings are: Fullscreen , LCD Grid  and  Use bilinear interpolation , and under Controls and Video -&gt; Video (enabled by default); Enable GBC LCD color emulation and Enable LCD frame blending . ","Nov 28, 2025"
Dungeon Punks,"Dungeon Punks is an arcade beat-em-up RPG that evokes the classics like Golden Axe, and mixes in tag-team fighting gameplay inspired by the Marvel vs Capcom series. Adventure awaits whether you’re going solo, playing with friends, or beating each other to a pulp in one of the many battle arenas! Total mayhem is bound to break loose as you blast your enemies senseless with crazy magical spells and custom combo attacks. Adventure solo, or with up to three players Challenge friends to a battle to the death across 11 different PvP battle arenas Tag-team fighting: take control of two characters at once! Explore twelve stunning areas, each with epic boss battles Recruit six mutant heroes, who each learn unique skills and abilities Find rare magicked loot than can electrify, burn, and sicken your foes Blast your enemies senseless with crazy magical spells and custom combo attacks Summon creatures to your aid, like a fire-breathing baby dragon Tame and ride wild beasts...including a laser-blasting unicorn! Want more of a challenge? Try the extra-hard New Game Plus mode Discover an unusual fantasy world of magic, mystery, and corporate greed Immerse yourself in an epic adventure of flying boats, unwelcome visits from the Feds, corporate espionage, and a bunch of mutants with licenses to kill on a mission to take down the bigwigs of the resurrection insurance industry, all in a medieval setting. If you enjoyed other arcade style brawlers like the Teenage Mutant Ninja Turtles Arcade, Golden Axe, Castle Crashers, or Dragon's Crown you're going to absolutely love Dungeon Punks. ","Aug 24, 2016"
Baldur's Gate: Dark Alliance II,"Unspeakable evil has returned to the legendary city of Baldur's Gate in this dungeon-crawling, action RPG fantasy classic. A call for adventurers echoes through the embattled land. Cunning warriors and bold magic users are desperately needed to reclaim Baldur's Gate from a dark sorcery that threatens all in its path. • Five new heroes with new class feats and abilities • Hack your way or cast powerful spells through over 80 perilous levels • Hidden areas, secret characters, and hundreds of items to discover, customize, and use • Forge unique magical weapons and armor to maximize the damage you inflict in battle • Conquer hordes of beasts and armies of Hobgoblins, Ghouls, Golems and dreaded Dragons • Compelling single or two-player cooperative modes of play","Jul 20, 2022"
Paper Dawn: Slumbering wind,"Fly, drift, and go sleep to dream. Unfold your wings and float through vast, hand-crafted landscapes — from quiet towns and shimmering lakes to distant valleys kissed by rainbows and moonlight. In Paper Dawn: Slumbering Wind , you guide a paper plane through gentle piano melodies and whispering winds. Every breeze can lift you — or tear you apart. Touch anything, and your delicate craft folds into silence. 🕯️ Features Atmospheric flight simulation — feel the lightness and fragility of a paper plane. Dynamic wind system — even a gasp of air can change your fate. Peaceful world — populated with birds, animals, and soft ambient life. Relaxing piano soundtrack — designed to calm your mind and lull you toward sleep. Cozy, meditative experience — no score, no timer, just quiet flight. Let go of control. Drift with the wind. Sometimes the softest crash makes the sweetest sound. More maps arriving as free DLC to expand your journey. In this game, you’ll wander through immersive environments originally crafted for other games by the same developer. These maps, once designed for different adventures, now take center stage as peaceful, standalone experiences. Each one invites you to explore at your own pace, accompanied by calming, sleepy music that sets a tranquil tone. Limited-Time Discount Enjoy a special launch discount while HDR support is being finalized. Once HDR + more paperplanes &amp; at least 6 more maps added (hopefully more), the price will return to normal—so now’s the perfect time to begin your adventure. No paywalls. No pressure. Just pure exploration. Every update is a gift, not a transaction. Whether you're strolling through misty forests or quiet towns, each update brings new places to discover—free of charge. This simple simulation will continue to grow as long as I’m developing games—and as much as I can afford to support it. It’s more than just a standalone experience: this project exists to help fund my larger vision—an action RPG currently in development. Every map in this game is part of that broader universe, offering a peaceful way to explore the worlds I’m building, one step at a time. ","Nov 27, 2025"
Drive Megapolis,"Improve your real life driving skills in Drive Megapolis For those of you who are dreading that intimidating driving test, wanting to polish up their road skills for a drive through, or are looking to improve on their existing driving skills to avoid getting points on their license – Driving Megapolis 3D offers a viable solution. Specifically designed for European roads and the rules around it, this simulator is designed to be used on a PC. A cut above the rest Boasting a host of features, this driving simulator is designed to be interactive and also a learning opportunity. This is a uniquely built driving simulator, which tracks you're driving mistakes along the way and highlights them clearly, giving you the chance to improve upon them. Fully packed with a bunch of scenarios, the Drive Megapolis 3D simulator comes with a series of thirty missions each one more exciting than the last. Each one designed to fulfil an objective. With the option of playing with a manual or automatic transmission. We have included various options which include a host of vehicles and terrains from which you can choose from – a total of seventeen in fact. Additionally it also has real life functions including simulated design which means the roads will be busy with trams and buses – meaning if you live in a busy city around Europe you can expect the same scenery from the simulator as well. Features: 30 missions. Objectives include parking, stopping and standing, entering and exiting the box, driving around tightly parked cars, driving to destinations, 'do not damage the cargo' and others. 17 vehicles to drive! They include front and rear wheel drive, 4x4, buses, trucks and 19 additional modded traffic cars. City, mountain and off-road maps to explore. You can also encounter trams, trains and trolleybuses in addition to the above vehicles on the road. You can pick up passengers in buses. Realistic clutch, stalls and engine simulation unique to each vehicle Realistic physics and weather affect conditions on different types of roads People and animals that will react according to your driving skills logitech g25/g27/g29 compatible and can be calibrated to support other steering wheels. 3 monitor setup are also available.","Aug 24, 2016"
Urchins and Ink,"Urchins &amp; Ink disguises a language-teaching game within a 2D action shooter. Absolute beginners and intermediate learners can understand and pronounce hiragana, katakana, and kanji at their own pace. No flashcards! No multiple-choice tests! Hiccup Interactive has worked hard to ensure that cute sea creatures and fun gameplay overshadow the intimidation of learning a new language. Our approach to edutainment focuses on innovative game mechanics to make learning complex topics more seamless with play. Urchins &amp; Ink offers a more enjoyable and interactive approach to learning a new language, which is much more fun than completing a worksheet.","Jul 29, 2022"
Le Bonk - Academic Version,"Notice: This game requires at least 2 players with controllers to be playable! Keyboard is not supported. Le Bonk is an action-packed game where you assume the role of a mole armed with a hammer and compete against other moles in the Moleanship. Your goal is to knock your opponents off the stage while remaining the last one standing. Immerse yourself in an exciting world that requires quick reflexes and strategic thinking. Throw your hammer at your opponents to unbalance them with a powerful strike. However, be careful not to be pushed to the edge of doom yourself! Use the environment to your advantage by burrowing into the ground to avoid incoming hammers. With your speed, you can swiftly move towards your opponents and deliver a mighty blow. The game features an appealing design that perfectly reflects the gameplay. Each level introduces unique third-party events, making the game even more captivating. Get ready for an thrilling adventure filled with action and tactical challenges. Become the master of Le Bonk and defeat your opponents to stand as the last mole on the hill.","Sep 4, 2023"
Rift Riff,"Jump a rift, fight off monsters, and plunder their world . Rift Riff is a tower defense game noteworthy in two ways: it's particularly strategic and remarkably forgiving. Strategic At the heart of the strategic layer of Rift Riff is a mix of choosing what towers you bring into each rift and being clever about the various monster behaviors. Monsters attack in waves, either going straight for your Extractor (your main tower) or attacking every tower in proximity. To defend yourself, you choose a handful of towers at the start of a scenario and build them on predetermined spots on the map. You obtain juice (your build resource) during monster waves and have the ability to build and upgrade towers before and during each wave. Surviving the onslaught of monsters gives you prisms, which in turn unlocks more rifts, towers, companions, and tower upgrades. Forgiving Don’t have enough juice to build your tower? Schedule it. Built the wrong tower? Get a full refund. Lost a tower? It’ll respawn for free after the wave. Lost your Extractor? Only redo the last wave. Having a hard time? Pick flowers for a bit of extra juice. Content The full game currently features ± 15–20 hours of gameplay: 20 worlds with 2 or more scenarios each. 17 tower types with 7 overpowered upgrades. 25 monster types with varying behaviors. 6 companions who'll assist you and your towers. 45 challenges for die hards. All the good Steam stuff: achievements, stats, controller support, cloud saves, etc. Have a suggestion or want to report a bug? Talk to the developers on the Steam Forums or on Discord. Made by… Rift Riff is made by game designer Adriaan de Jongh (best known for the indie hit Hidden Folks), graphic designer Sim Kaart, enemy wave designer Professional Panda, music composer and sound designer Matthijs Koster, and programmer Franz LaZerte. Rift Riff is made using the open source game engine Godot. ","May 9, 2025"
